,SPY,QQQ,IWM,TLT,GLD,HYG,UUP
2018-06-12,246.479080,166.927963,151.533630,95.256294,122.820000,56.331978,20.662201
2018-06-13,245.692566,166.918442,150.936691,95.208389,123.190002,56.351627,20.628754
2018-06-14,246.311172,168.608337,151.741653,95.998604,123.379997,56.515594,20.896334
2018-06-15,245.996918,168.019760,151.786865,96.086441,121.339996,56.482796,20.879612
2018-06-18,245.491058,167.922653,152.501450,95.998604,121.110001,56.476269,20.879612
2018-06-19,244.550125,167.446976,152.510483,96.557373,120.800003,56.397533,20.938145
2018-06-20,244.967285,168.636215,153.740646,95.711273,120.260002,56.456570,20.954865
2018-06-21,243.431610,167.171066,152.302444,96.214149,120.050003,56.338490,20.896334
2018-06-22,243.875473,166.800079,151.795990,96.206123,120.339996,56.345078,20.821079
2018-06-25,240.555588,163.042023,149.317596,96.421669,119.889999,56.213882,20.787628
2018-06-26,241.088135,163.707947,150.185883,96.557373,119.260002,56.207336,20.896334
2018-06-27,239.091019,161.481689,147.779877,97.467316,118.580002,56.089283,21.021761
2018-06-28,240.457962,162.870728,148.232147,97.491272,118.220001,55.931873,21.021761
2018-06-29,240.804153,163.308426,148.132675,97.156021,118.650002,55.800701,20.854525
2018-07-02,241.318939,164.402527,149.154755,97.080017,117.459999,55.854088,20.954865
2018-07-03,240.466858,162.499680,149.749344,97.600014,118.650002,55.860649,20.887972
2018-07-05,242.428543,164.516678,151.456009,97.880005,119.050003,56.071487,20.821079
2018-07-06,244.479034,167.075958,152.735962,98.200012,118.860001,56.216427,20.754179
2018-07-09,246.680435,168.579147,153.698273,97.568008,119.150002,56.302048,20.762543
2018-07-10,247.568146,168.702820,152.999222,97.560020,118.930000,56.308655,20.770906
2018-07-11,245.757263,167.846558,151.701096,97.936005,117.639999,56.223019,20.913057
2018-07-12,247.985275,170.738831,152.436432,97.928024,118.129997,56.400890,20.929781
2018-07-13,248.180634,170.881561,151.982498,98.175987,117.610001,56.400890,20.904696
2018-07-16,247.958603,170.472443,151.392502,97.767990,117.550003,56.361362,20.871248
2018-07-17,248.961716,171.509476,152.064194,97.583984,116.279999,56.381123,20.963228
