,SPY,QQQ,IWM,TLT,GLD,HYG,UUP
2018-05-10,240.381592,161.032333,144.297485,94.709015,125.180000,55.993706,20.369535
2018-05-11,241.115005,160.880508,144.577927,94.947868,125.000000,55.974140,20.336088
2018-05-14,241.229965,161.155807,144.026154,94.446220,124.489998,55.987206,20.361176
2018-05-15,239.568619,159.370972,144.053299,93.371140,122.480003,55.712959,20.486601
2018-05-16,240.576019,160.424728,145.554794,93.012794,122.290001,55.784790,20.536776
2018-05-17,240.372803,159.807693,146.224152,92.542969,122.360001,55.817467,20.561859
2018-05-18,239.771881,158.981750,146.414078,93.339302,122.410004,55.758686,20.603664
2018-05-21,241.574570,159.874130,147.381882,93.387054,122.480003,55.837021,20.586948
2018-05-22,240.903015,159.665222,146.314545,93.243713,122.410004,55.876179,20.578581
2018-05-23,241.565781,161.013382,146.504532,93.920624,122.540001,55.921894,20.662199
2018-05-24,241.070892,160.965866,146.558792,94.669182,123.589996,55.954506,20.637112
2018-05-25,240.496490,161.127289,146.296509,95.258492,123.209999,55.863125,20.737457
2018-05-29,237.730560,160.415207,146.097549,97.344879,123.190002,55.628075,20.879610
2018-05-30,240.903015,161.563980,148.413025,96.691902,123.370003,55.797848,20.720736
2018-05-31,239.427277,161.459579,147.228134,96.532631,123.099998,55.745590,20.704010
2018-06-01,241.777847,163.994415,148.195953,96.022568,122.489998,55.872852,20.737457
2018-06-04,242.926666,165.475433,148.982910,95.328140,122.370003,55.990902,20.720736
2018-06-05,243.103363,165.988098,149.905487,95.551636,122.849998,56.056488,20.695650
2018-06-06,245.135849,166.956406,150.990921,94.777397,122.919998,56.194225,20.637112
2018-06-07,245.109329,165.598846,150.167831,95.695320,122.860001,56.213905,20.595304
2018-06-08,245.833939,165.608353,150.620056,95.407959,123.010002,56.181087,20.603664
2018-06-11,246.160934,166.054550,150.846161,95.232353,123.230003,56.286041,20.620392
2018-06-12,246.479095,166.927963,151.533600,95.256294,122.820000,56.331966,20.662199
2018-06-13,245.692535,166.918488,150.936630,95.208420,123.190002,56.351635,20.628754
2018-06-14,246.311188,168.608368,151.741669,95.998619,123.379997,56.515587,20.896336
2018-06-15,245.996964,168.019730,151.786880,96.086426,121.339996,56.482800,20.879610
2018-06-18,245.490997,167.922668,152.501480,95.998619,121.110001,56.476231,20.879610
2018-06-19,244.550064,167.447006,152.510498,96.557396,120.800003,56.397541,20.938145
2018-06-20,244.967239,168.636215,153.740646,95.711304,120.260002,56.456558,20.954868
2018-06-21,243.431610,167.171082,152.302505,96.214127,120.050003,56.338505,20.896336
2018-06-22,243.875427,166.800034,151.795944,96.206154,120.339996,56.345085,20.821077
2018-06-25,240.555557,163.041977,149.317535,96.421677,119.889999,56.213905,20.787630
2018-06-26,241.088226,163.707993,150.185898,96.557396,119.260002,56.207314,20.896336
2018-06-27,239.090988,161.481659,147.779892,97.467270,118.580002,56.089291,21.021761
2018-06-28,240.458038,162.870728,148.232101,97.491280,118.220001,55.931900,21.021761
2018-06-29,240.804108,163.308395,148.132629,97.156013,118.650002,55.800663,20.854523
2018-07-02,241.318954,164.402512,149.154739,97.079987,117.459999,55.854088,20.954868
2018-07-03,240.466873,162.499725,149.749359,97.600021,118.650002,55.860664,20.887970
2018-07-05,242.428665,164.516632,151.455994,97.880005,119.050003,56.071484,20.821077
2018-07-06,244.479004,167.075928,152.735962,98.200012,118.860001,56.216423,20.754183
2018-07-09,246.680466,168.579132,153.698212,97.568016,119.150002,56.302067,20.762543
2018-07-10,247.568115,168.702820,152.999222,97.560036,118.930000,56.308659,20.770906
2018-07-11,245.757294,167.846603,151.701096,97.936043,117.639999,56.223007,20.913057
2018-07-12,247.985306,170.738876,152.436417,97.927986,118.129997,56.400875,20.929783
2018-07-13,248.180588,170.881577,151.982529,98.175980,117.610001,56.400875,20.904696
2018-07-16,247.958618,170.472397,151.392426,97.768028,117.550003,56.361340,20.871246
2018-07-17,248.961700,171.509506,152.064224,97.584000,116.279999,56.381126,20.963228
2018-07-18,249.485443,171.185959,152.490860,97.192024,116.309998,56.407482,20.988316
2018-07-19,248.544510,170.329742,153.571136,97.808006,115.809998,56.381126,21.030121
2018-07-20,248.260483,170.291687,152.944809,96.608002,116.559998,56.407482,20.862888
2018-07-23,248.722031,170.833969,153.135406,95.416008,116.000000,56.387707,20.896336
2018-07-24,249.973633,171.538040,151.501358,95.743996,116.040001,56.506256,20.904696
2018-07-25,252.104004,173.935547,152.055130,95.591965,116.680000,56.611691,20.804354
2018-07-26,251.509323,171.300156,152.872162,95.408020,115.769997,56.618309,20.946501
2018-07-27,249.805038,168.988235,150.021683,95.567978,115.830002,56.598534,20.921419
2018-07-30,248.500214,166.600250,149.059464,95.240044,115.650002,56.618309,20.846161
2018-07-31,249.725098,167.875092,150.575424,95.760017,115.989998,56.736862,20.887970
2018-08-01,249.307785,168.512543,150.475586,94.979851,115.139999,56.787804,20.913057
2018-08-02,250.666031,170.805420,151.574005,95.116150,114.519997,56.820900,21.030121
2018-08-03,251.740082,171.328690,151.047485,95.589241,114.919998,56.867207,21.046848
2018-08-06,252.663315,172.337219,151.891769,95.645332,114.330002,56.973076,21.080294
2018-08-07,253.497650,172.965103,152.254868,95.148247,114.589996,56.999527,21.055208
2018-08-08,253.391205,173.174408,152.118698,95.244461,114.910004,56.966465,21.030121
2018-08-09,253.044922,173.069748,152.509003,96.046219,114.739998,56.926769,21.155550
2018-08-10,251.349533,171.747330,152.082367,96.743851,114.690002,56.827492,21.306063
2018-08-13,250.408615,171.557053,151.192749,96.543365,112.959999,56.787804,21.314426
2018-08-14,252.006424,172.632126,152.690598,96.326897,113.070000,56.887058,21.398046
2018-08-15,250.124603,170.520020,150.775192,96.888130,111.190002,56.787804,21.398046
2018-08-16,252.148468,171.081360,152.173157,96.880089,111.099998,56.860615,21.381323
2018-08-17,253.036102,171.119400,152.826797,97.000359,112.129997,56.926769,21.272617
2018-08-20,253.577606,170.967163,153.253464,97.649841,112.690002,56.953213,21.222446
2018-08-21,254.172348,171.595108,155.014542,97.321060,113.019997,57.039253,21.097017
2018-08-22,254.021347,172.261139,155.395813,97.705940,113.269997,57.059101,21.038486
2018-08-23,253.684021,172.013733,154.923767,97.858284,112.199997,57.052475,21.172274
2018-08-24,255.210861,173.612045,155.767990,98.050735,114.160004,57.151722,21.071934
2018-08-27,257.225891,175.381699,155.994980,97.489449,114.589996,57.171593,20.988316
2018-08-28,257.350159,175.638565,156.140182,96.904175,113.680000,57.145096,20.988316
2018-08-29,258.734894,177.665085,156.594116,97.032425,114.199997,57.112022,20.954868
2018-08-30,257.687286,177.351120,156.467056,97.240921,113.639999,57.065716,20.971590
2018-08-31,257.696259,177.579437,157.066147,97.016426,113.510002,57.138496,21.063572
2018-09-04,257.252472,176.818283,156.367142,96.455490,112.930000,57.019539,21.155550
2018-09-05,256.560089,174.534943,155.949539,96.198341,113.320000,56.959724,21.080294
2018-09-06,255.787811,172.974670,154.896576,96.551918,113.540001,57.006271,21.080294
2018-09-07,255.290756,172.308640,154.814804,95.732224,113.230003,56.946442,21.138828
2018-09-10,255.734573,172.888992,155.005432,96.085808,113.150002,57.059410,21.097017
2018-09-11,256.577759,174.220978,155.259628,95.354607,113.220001,57.072685,21.113743
2018-09-12,256.639984,173.707230,154.887451,95.579590,114.169998,57.205612,21.038486
2018-09-13,258.157928,175.562439,154.923767,95.724243,113.760002,57.311913,20.979952
2018-09-14,258.202271,175.048706,155.577393,95.266174,113.019997,57.365082,21.055208
2018-09-17,256.835266,172.527466,153.925201,95.266174,113.610001,57.325237,20.954868
2018-09-18,258.228790,173.954559,154.569733,94.269745,113.440002,57.318573,20.988316
2018-09-19,258.504059,173.821396,154.006912,93.707230,113.879997,57.212238,20.979952
2018-09-20,260.598969,175.743179,155.432083,94.141151,114.269997,57.291992,20.829439
2018-09-21,260.360809,174.782303,154.687744,94.100937,113.489998,57.305290,20.896336
2018-09-24,259.495880,175.268372,154.115875,93.859894,113.470001,57.278671,20.896336
2018-09-25,259.255219,175.506668,154.351852,93.763474,113.650002,57.232151,20.913057
2018-09-26,258.479431,175.630600,152.941040,94.422401,113.050003,57.291992,20.921419
2018-09-27,259.201630,177.117447,152.950150,94.486687,112.050003,57.398289,21.071934
2018-09-28,259.228424,177.079285,153.414352,94.237579,112.760002,57.438168,21.122105
2018-10-01,260.129059,177.441467,151.393723,93.545738,112.570000,57.604370,21.155550
2018-10-02,259.977448,177.041199,149.755341,94.117584,113.870003,57.557648,21.188999
2018-10-03,260.120148,177.231812,151.066055,92.482605,113.419998,57.404106,21.255896
2018-10-04,258.087067,173.829163,148.945251,91.830269,113.480003,57.190556,21.264257
2018-10-05,256.642609,171.703674,147.598160,91.040985,113.800003,56.936890,21.239170
2018-10-08,256.642609,170.655350,147.288696,90.734955,112.540001,56.810081,21.264257
2018-10-09,256.268036,171.208084,146.715271,91.653099,112.599998,56.896832,21.255896
2018-10-10,248.153793,163.678513,142.501038,91.403397,112.879997,56.489681,21.230808
2018-10-11,242.687744,161.648392,139.779556,92.514877,115.779999,56.536396,21.113743
2018-10-12,246.058350,166.147064,139.806854,92.192703,115.230003,56.836769,21.180637
2018-10-15,244.676224,164.136002,140.325638,92.152382,116.000000,56.796707,21.130466
2018-10-16,250.026260,168.911118,144.394257,92.361816,115.800003,56.990280,21.138828
2018-10-17,250.070862,168.977844,143.775299,91.814148,115.790001,56.876808,21.247532
2018-10-18,246.459641,165.060471,141.081116,91.781937,115.919998,56.636532,21.339512
2018-10-19,246.325897,164.908020,139.588425,91.580612,116.010002,56.669895,21.297705
2018-10-22,245.220215,165.756302,139.287994,91.459808,115.709999,56.696564,21.372961
2018-10-23,243.971848,165.146317,138.041031,91.749741,116.389999,56.643188,21.339512
2018-10-24,236.579788,157.588074,132.843781,92.442368,116.660004,56.362858,21.448215
2018-10-25,240.824219,163.039902,135.720078,92.055779,116.400002,56.476303,21.506750
2018-10-26,236.588730,158.846222,134.236435,92.611473,116.769997,56.222660,21.448215
